tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-M-DC-2026-QLS-M-KOR-IND-01,Davis Cup QLS R2: KOR vs IND,Hard,4,D,O,20260918,1,KF17,,,Soonwoo Kwon,R,180,KOR,28.794,157,355,S0DE,,,Dhakshineswar Suresh,R,196,IND,26.472,367,141,3-6 6-3 6-4,3,RR,125,7,5,80,36,33,24,14,1,2,12,6,110,64,46,23,14,8,10
2026-M-DC-2026-QLS-M-KOR-IND-01,Davis Cup QLS R2: KOR vs IND,Hard,4,D,O,20260918,2,CH27,,,Hyeon Chung,R,188,KOR,30.333,549,74,N897,,,Sumit Nagal,R,178,IND,29.090,247,225,2-6 6-4 7-5,3,RR,186,3,4,107,68,45,16,15,3,8,3,8,100,67,44,13,15,6,11
2026-M-DC-2026-QLS-M-KOR-IND-01,Davis Cup QLS R2: KOR vs IND,Hard,4,D,O,20260919,3,KF17,,,Soonwoo Kwon,R,180,KOR,28.797,157,355,N897,,,Sumit Nagal,R,178,IND,29.092,247,225,6-1 6-2,3,RR,,4,3,41,25,21,10,7,2,2,1,3,50,25,9,15,8,8,13
2026-M-DC-2026-QLS-M-AUT-BEL-01,Davis Cup QLS R2: AUT vs BEL,Clay,4,D,O,20260918,1,R09X,,,Jurij Rodionov,L,191,AUT,27.343,142,416,O0A2,,,Gauthier Onclin,R,180,BEL,25.558,164,344,6-4 6-1,3,RR,,9,1,69,44,24,16,9,3,5,0,1,48,31,14,12,8,4,9
2026-M-DC-2026-QLS-M-AUT-BEL-01,Davis Cup QLS R2: AUT vs BEL,Clay,4,D,O,20260918,2,BU13,,,Zizou Bergs,R,185,BEL,27.294,38,1345,N0CS,,,Lukas Neumayer,R,183,AUT,24.033,180,312,2-6 6-4 6-2,3,RR,105,9,4,75,43,32,15,13,2,5,2,3,65,38,26,15,13,3,7
2026-M-DC-2026-QLS-M-CZE-USA-01,Davis Cup QLS R2: CZE vs USA,Hard,4,D,I,20260918,1,T0HA,,,Learner Tien,L,180,USA,20.794,13,2755,M0NI,,,Jakub Mensik,R,196,CZE,21.046,15,2495,6-2 6-4,3,RR,69,1,2,52,37,31,6,9,3,4,4,4,54,38,24,4,9,3,7
2026-M-DC-2026-QLS-M-CZE-USA-01,Davis Cup QLS R2: CZE vs USA,Hard,4,D,I,20260918,2,L0BV,,,Jiri Lehecka,R,185,CZE,24.860,24,2120,S0S1,,,Ben Shelton,L,193,USA,23.943,4,4680,6-4 6-4,3,RR,95,3,1,58,33,29,14,10,2,2,3,2,62,48,35,6,10,4,6
2026-M-DC-2026-QLS-M-CAN-FRA-01,Davis Cup QLS R2: CAN vs FRA,Hard,4,D,I,20260918,1,D0DP,,,Liam Draxl,R,185,CAN,24.786,205,267,RC91,,,Arthur Rinderknech,R,196,FRA,31.157,32,1583,6-2 7-5,3,RR,104,9,1,72,57,41,7,10,3,3,13,1,69,43,27,15,10,7,10
2026-M-DC-2026-QLS-M-CAN-FRA-01,Davis Cup QLS R2: CAN vs FRA,Hard,4,D,I,20260918,2,AG37,,,Felix Auger-Aliassime,R,193,CAN,26.111,5,3890,HB64,,,Quentin Halys,R,191,FRA,29.895,49,1070,7-6(5) 4-6 6-3,3,RR,143,12,1,90,68,52,15,16,0,1,19,6,102,70,58,11,15,4,5
2026-M-DC-2026-WG1-R1-FIN-MON-01,Davis Cup WG1 R1: FIN vs MON,Hard,4,D,I,20260918,1,V0AM,,,Otto Virtanen,R,193,FIN,25.243,108,586,CN78,,,Lucas Catarina,R,185,MON,30.062,,,6-0 6-3,3,RR,,10,4,44,29,25,8,8,2,2,2,1,54,30,14,11,7,3,7
2026-M-DC-2026-WG1-R1-FIN-MON-01,Davis Cup WG1 R1: FIN vs MON,Hard,4,D,I,20260918,2,VA25,,,Valentin Vacherot,R,193,MON,27.838,21,2250,V993,,,Eero Vasa,R,185,FIN,29.626,446,105,6-3 7-6(3),3,RR,,15,2,65,48,44,9,11,2,2,6,2,62,41,33,10,10,2,3
2026-M-DC-2026-WG1-R1-LUX-HUN-01,Davis Cup WG1 R1: LUX vs HUN,Hard,4,D,I,20260918,1,M0CI,,,Fabian Marozsan,R,193,HUN,26.946,60,930,V0AS,,,Louis Van Herck,R,,LUX,27.214,1705,3,6-4 6-4,3,RR,,1,2,52,32,26,11,10,0,2,5,2,59,35,19,12,10,5,9
