playerId,rank,points
S0AG,1,12800
Z355,2,7790
A0E2,3,7160
AG37,4,4640
D643,5,3770
C0E9,6,3720
DH58,7,3650
MM58,8,3580
S0S1,9,3480
FB98,10,3475
F0F1,11,3140
TD51,12,2680
J0DZ,13,2671
M0EJ,14,2605
T0HA,15,2565
BK92,16,2525
N0AE,17,2485
M0NI,18,2445
L0BV,19,2420
RH16,20,2385
PL56,21,2225
D0FJ,22,2175
VA25,23,2168
RE44,24,2080
C0AU,25,1980
F0FV,26,1800
DH50,27,1730
TE30,28,1688
RC91,29,1683
B0ID,30,1550
HH26,31,1545
EA24,32,1440
F0DM,33,1415
B0PG,34,1396
N771,35,1365
A0FC,36,1349
BU13,37,1345
C0JP,38,1207
M0N7,39,1157
V0DZ,40,1140
BT72,41,1135
T0A1,42,1125
BK40,43,1115
SL28,44,1089
C0C8,45,1076
M0QI,46,1070
HB71,47,1070
SU55,48,1065
N0BS,49,1065
KE29,50,1050
B0BI,51,1044
HB64,52,1030
TE51,53,1015
H997,54,991
MU94,55,990
GJ37,56,975
AE14,57,964
M0FH,58,960
B0FV,59,960
V0DP,60,954
Q02L,61,949
MW02,62,935
M0CI,63,930
KI95,64,925
L0IL,65,922
CD85,66,899
ME82,67,895
K0AH,68,890
KI82,69,883
V812,70,868
D994,71,853
F0F2,72,847
MQ75,73,827
B0CD,74,803
R0EB,75,778
CH12,76,773
U182,77,770
GC88,78,765
M0JF,79,764
S0K7,80,759
C977,81,751
D0CG,82,732
TA29,83,731
K0AZ,84,730
H0BH,85,724
MV14,86,710
G0IX,87,709
SY67,88,705
SU87,89,698
D0DT,90,697
G09O,91,697
A0GC,92,687
W09E,93,670
W0BH,94,668
B0GG,95,659
V832,96,659
BM95,97,656
S0H2,98,655
SX50,99,634
D0C1,100,628
F0BY,101,623
P0HW,102,618
D0DW,103,616
D923,104,612
M0GZ,105,600
O483,106,598
Z0BZ,107,590
J0AZ,108,581
V0AM,109,574
S0TM,110,567
N0AM,111,561
S0JA,112,557
WB32,113,551
D0F6,114,550
M0AW,115,548
K0A3,116,540
M0HU,117,532
P09O,118,530
C0DF,119,516
R0GO,120,513
G0FW,121,511
F724,122,510
S0IA,123,506
Y09V,124,496
O513,125,495
L0CX,126,491
W367,127,486
H0DU,128,474
PH64,129,462
P09Z,130,458
R0FS,131,457
BG23,132,456
R0DG,133,450
S0GD,134,445
GD64,135,438
S0KT,136,435
D875,137,432
MP20,138,430
HG86,139,428
DA31,140,422
D0CO,141,410
C0H0,142,396
R09X,143,395
BS86,144,395
G0IB,145,393
MK66,146,390
TA12,147,388
MO44,148,387
B0U4,149,379
KF17,150,379
R0E0,151,377
L0GH,152,375
O522,153,371
Z371,154,365
P0IY,155,364
G0BY,156,363
S0UV,157,357
O0A2,158,355
T09X,159,353
DA81,160,351
HD68,161,349
GH92,162,349
B0NN,163,348
BI81,164,348
P0HT,165,344
CF01,166,342
L987,167,338
M0IF,168,337
GJ16,169,332
M0K4,170,331
S0WT,171,324
B0GR,172,322
MP01,173,321
BU70,174,319
KH56,175,318
M0N1,176,317
A0EA,177,317
K0EP,178,315
TA46,179,315
S0N0,180,313
C0NB,181,312
B0EJ,182,310
GK06,183,309
I0B0,184,307
C0BH,185,304
K0JH,186,302
G0A0,187,301
SS25,188,298
M0OH,189,293
D0LJ,190,291
N0CS,191,290
J476,192,289
S0DQ,193,287
C0NN,194,286
B0MM,195,286
W0AH,196,285
BI23,197,282
SX91,198,281
BV16,199,279
K0O4,200,279
GA79,201,279
N732,202,276
P0AY,203,273
Y218,204,272
S0GR,205,272
DB63,206,271
P0CT,207,270
R0FP,208,270
CF59,209,269
M0EA,210,269
AG08,211,269
M0SE,212,265
D0H9,213,263
G0EU,214,262
S0AK,215,261
S0S5,216,260
CG33,217,260
D0DP,218,255
N09U,219,255
S0GZ,220,255
T0AP,221,253
S0ZE,222,253
O660,223,249
BV24,224,249
C0AK,225,247
EA13,226,247
S0TX,227,246
S0RE,228,245
N679,229,245
C0B2,230,244
J0AW,231,244
BD06,232,243
F0F4,233,241
V836,234,240
B0GY,235,240
N897,236,239
BV21,237,239
M0HT,238,239
SN54,239,239
H0CX,240,238
N0BG,241,236
CI14,242,236
GF95,243,235
B0QC,244,233
B0NO,245,232
M0OQ,246,231
H09N,247,228
Z0CQ,248,228
Z0A1,249,227
K09F,250,226
S0NV,251,226
B0WL,252,226
W09G,253,225
D0L3,254,225
M0SC,255,225
HH06,256,224
N0DB,257,220
K0HC,258,220
B0JE,259,219
P0DF,260,219
S0EK,261,218
T0DM,262,218
K0FY,263,218
R0JW,264,216
G0CV,265,215
P0GQ,266,214
M0G4,267,213
H09F,268,213
J09X,269,213
B0OU,270,213
R0BT,271,212
P0J1,272,212
S0LA,273,211
M0NL,274,211
S0O6,275,210
H0BF,276,210
U120,277,210
M0BN,278,210
C0JX,279,208
MJ08,280,204
A09T,281,203
R0A7,282,202
K0CJ,283,202
H0A4,284,200
G0DH,285,199
H996,286,198
G0AO,287,198
B0LQ,288,198
L0GR,289,197
B0FI,290,197
AA27,291,196
MW76,292,196
D0A2,293,195
H0DC,294,192
F0A3,295,192
O0BI,296,190
KE64,297,189
B0C5,298,189
M0ON,299,186
A09Q,300,185
N0CJ,301,184
M0E1,302,184
B0BU,303,184
B0PE,304,184
E0AA,305,182
MJ98,306,182
C0HT,307,182
T0GR,308,181
D0D4,309,181
RD48,310,181
MC65,311,180
H0JL,312,180
P0FJ,313,180
M0NP,314,180
E0DD,315,179
D0CN,316,179
GB88,317,178
S0VU,318,178
R0HK,319,178
R0ED,320,176
V821,321,176
M0RG,322,175
SX90,323,174
A0CJ,324,174
A0IK,325,173
GG65,326,171
M0FA,327,169
HB48,328,168
KC29,329,168
Z0AK,330,168
SQ80,331,168
G0GW,332,164
DG80,333,164
TC61,334,163
GE33,335,163
K926,336,162
C0HB,337,162
P0MG,338,161
E0AC,339,161
R0KD,340,160
T0FI,341,160
B0JP,342,160
PJ74,343,160
W0C4,344,159
M0UR,345,158
RB60,346,158
S0CG,347,158
U134,348,156
S0EX,349,156
M09M,350,155
F0HO,351,153
T0CN,352,153
S0TI,353,152
H0K0,354,152
P0K4,355,151
G0IW,356,150
E0DI,357,149
KC12,358,148
N0EG,359,146
M0NJ,360,144
BU54,361,144
M0NB,362,143
CG07,363,143
S0QZ,364,143
DC38,365,143
B0OV,366,142
F0A4,367,142
S0DE,368,141
GB93,369,141
W857,370,141
L0CF,371,140
P0I6,372,140
R09V,373,140
C0BB,374,140
PG94,375,139
M0GB,376,139
DC48,377,138
MN20,378,137
FA43,379,137
CC66,380,136
D0JI,381,136
KC33,382,135
CO01,383,135
R0HP,384,134
Z0DA,385,133
LC12,386,132
W0BB,387,132
V0J1,388,131
F0BT,389,131
G09C,390,131
B0I5,391,130
K0BJ,392,130
I305,393,129
K0NP,394,129
S0XE,395,129
S0AQ,396,129
F0CK,397,128
I426,398,127
J0B5,399,126
S0VM,400,125
MF35,401,125
P0HY,402,125
B0F8,403,123
RH62,404,122
W0A4,405,122
TE16,406,121
U176,407,121
J553,408,121
B0JJ,409,121
B0LW,410,120
PL64,411,120
P0CY,412,120
D0HX,413,119
W0BU,414,119
S0GV,415,119
Z09F,416,119
KD46,417,118
D0AR,418,118
HG94,419,118
WB08,420,117
P0KA,421,117
G0I3,422,117
A0JW,423,116
N830,424,116
X01C,425,116
V0D4,426,115
C0HX,427,114
B0TP,428,114
CD00,429,113
V0D0,430,113
A0G7,431,113
P0O9,432,113
BU53,433,113
RH59,434,111
K0J9,435,109
O659,436,109
BV25,437,108
V0DG,438,108
F840,439,107
DF92,440,107
M0R4,441,107
S0MN,442,107
D0HM,443,107
Y171,444,107
L0ER,445,106
S0H1,446,106
DC76,447,106
K0DP,448,105
H0EK,449,105
L0ID,450,105
J0F2,451,104
B0QQ,452,104
V0BC,453,104
C0AJ,454,104
PH78,455,103
P0GN,456,103
A09P,457,103
M0AC,458,103
P0C1,459,103
B0EK,460,103
CH80,461,102
PI96,462,102
SG56,463,102
T0BW,464,101
MW75,465,101
SR81,466,101
M0RX,467,100
S0IV,468,100
Z09Z,469,99
K0DB,470,99
H0CD,471,99
T0I3,472,99
LI10,473,99
L0N0,474,98
KB95,475,97
GE28,476,97
EA27,477,96
RG42,478,96
V993,479,96
C0LK,480,96
N552,481,95
C0OW,482,95
M0SB,483,94
TD55,484,94
C0P0,485,94
S0HR,486,94
D0FA,487,93
P0B2,488,93
J0D2,489,93
WB25,490,93
A0KQ,491,93
C0OF,492,92
B0T6,493,92
M0XQ,494,92
L0DB,495,92
O0AI,496,92
A829,497,91
S0WX,498,91
S0NT,499,91
B0C0,500,91
SQ79,501,91
P0FV,502,91
S0LT,503,90
J0A4,504,90
A0I1,505,90
P0E9,506,90
SL94,507,90
M0EY,508,89
M0DY,509,89
M0D4,510,89
B0ME,511,88
M0GY,512,87
A0KU,513,87
B0PU,514,87
R0BC,515,87
S0U5,516,87
F0CJ,517,86
MI01,518,86
M0HD,519,86
C0I4,520,85
A0BA,521,85
S0C2,522,85
DH46,523,84
DF88,524,84
Z09K,525,84
K0HG,526,83
A0F3,527,83
S09P,528,83
S0T1,529,82
I0BF,530,82
Z0C9,531,82
N0B4,532,82
O09A,533,82
B0I6,534,81
TC01,535,81
B0JG,536,81
M0JZ,537,80
V09T,538,80
I0AX,539,80
M0NA,540,79
C0MH,541,79
D0D2,542,78
F0F0,543,78
Z0C3,544,77
Y0BF,545,77
SO20,546,77
W09T,547,77
K0DE,548,76
M0TE,549,75
B0LV,550,75
L0I5,551,75
B0GI,552,75
SY94,553,75
F09U,554,74
L0C1,555,74
O0BR,556,74
SY71,557,74
MW54,558,73
Z0BL,559,73
PF65,560,73
S0S9,561,73
B0VX,562,72
T0CU,563,72
G0G2,564,72
BU10,565,71
B0IY,566,71
CH27,567,71
D0CU,568,71
RB86,569,71
A0HZ,570,71
B0D6,571,70
J620,572,70
W712,573,70
KI71,574,70
K0HZ,575,69
MW62,576,69
N731,577,69
P0EA,578,69
M0CW,579,68
F0HN,580,68
E0AU,581,68
M0TO,582,68
R0JI,583,67
WB19,584,67
V0BS,585,67
B0PW,586,67
C0JT,587,67
F0BP,588,67
G0EQ,589,67
L0AT,590,67
I0B6,591,66
G0J9,592,66
A0G8,593,66
A0J5,594,66
G0LG,595,66
E0BO,596,66
B0OT,597,65
V0G2,598,65
D0K3,599,65
D0DB,600,65
R0H6,601,65
D985,602,64
R0IL,603,64
S0RI,604,64
VA08,605,63
P0EV,606,63
B0AM,607,63
H0EI,608,63
A0IA,609,62
GB41,610,62
M19T,611,62
MP13,612,62
L0K7,613,61
P0HP,614,61
D0HJ,615,61
LH70,616,61
DH23,617,60
V0BP,618,60
O0E7,619,60
M0C2,620,60
T0BD,621,60
SK94,622,59
V0GR,623,59
RH88,624,59
G0ME,625,59
J0DG,626,59
K0HN,627,59
H0B5,628,58
O0BE,629,58
P0G5,630,58
MV75,631,58
HG90,632,57
D0IO,633,57
P0K5,634,57
BU36,635,57
O656,636,57
O639,637,57
RC04,638,56
B0PN,639,56
D0LK,640,56
B0P4,641,56
Z0CO,642,56
I09N,643,56
M0I0,644,56
H0E7,645,56
F0C0,646,55
H0J1,647,55
F0FL,648,55
H0HU,649,55
O0AD,650,54
C0KV,651,54
PG20,652,54
EA31,653,54
T0FK,654,54
H09P,655,53
S0H9,656,53
KI48,657,53
C0GK,658,53
P0K3,659,52
M0WY,660,52
B0LL,661,52
R0HQ,662,52
K0AK,663,52
M0B2,664,52
CN88,665,52
M0O6,666,51
O0BQ,667,51
H0L4,668,51
D0I6,669,51
A0FM,670,51
D0JZ,671,51
S0LD,672,51
H0EH,673,51
D0HD,674,50
A0O1,675,50
R0H2,676,50
A0O2,677,50
P0EP,678,50
B0HY,679,50
D0L8,680,50
DB32,681,50
H0EZ,682,50
S0DL,683,49
B0ER,684,49
BE67,685,49
H0C9,686,49
V0DI,687,49
J0CU,688,49
K0CI,689,49
KG27,690,49
TF58,691,49
M0V5,692,49
B0G4,693,49
H0BA,694,49
S0BT,695,48
A09U,696,48
C0GG,697,48
D0DK,698,48
V0F6,699,48
V0G6,700,48
C0MX,701,48
J0EM,702,47
B0A0,703,47
S1AJ,704,47
S0UM,705,47
D0IN,706,47
R0BF,707,47
I09U,708,47
M0EG,709,47
KI63,710,46
M0FN,711,46
FA50,712,46
