tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2013-1063,Shenzhen,Hard,32,I,,20121231,1,201419,1,,Na Li,R,172,CHN,30.845,7,5095,201605,,,Mandy Minella,R,180,LUX,27.108,77,815,6-4 6-0,3,R32,,3,1,45,26,21,14,,0,0,0,3,50,31,17,9,,2,6
2013-1063,Shenzhen,Hard,32,I,,20121231,2,201512,,,Monica Niculescu,R,168,ROU,25.268,58,1035,202453,,WC,Saisai Zheng,R,170,CHN,18.903,138,511,6-4 7-5,3,R32,,0,0,80,59,29,10,,8,14,0,1,74,47,21,10,,7,15
2013-1063,Shenzhen,Hard,32,I,,20121231,3,201578,,,Kai Chen Chang,R,167,TPE,21.966,86,737,201562,,,Silvia Soler Espinosa,R,169,ESP,25.118,83,775,4-6 6-1 6-3,3,R32,,1,3,81,45,33,19,,7,10,1,2,77,41,23,14,,2,8
2013-1063,Shenzhen,Hard,32,I,,20121231,4,201609,,LL,Yi Miao Zhou,R,,CHN,21.898,177,364,202468,,Q,Jessica Pegula,R,170,USA,18.850,150,456,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2013-1063,Shenzhen,Hard,32,I,,20121231,5,201344,5,,Klara Koukalova,R,166,CZE,30.851,28,1535,201599,,,Andrea Hlavackova,R,174,CZE,26.393,64,950,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2013-1063,Shenzhen,Hard,32,I,,20121231,6,202494,,,Elina Svitolina,R,174,UKR,18.303,131,529,201424,,,Shahar Peer,R,170,ISR,25.671,74,851,6-1 6-3,3,R32,,2,3,51,33,22,8,,3,5,0,5,55,25,14,9,,3,9
2013-1063,Shenzhen,Hard,32,I,,20121231,7,201527,,Q,Stefanie Voegele,R,170,SUI,22.812,92,712,201693,,,Timea Babos,R,179,HUN,19.644,67,916,6-4 7-5,3,R32,,0,0,66,38,28,13,,2,4,2,2,67,38,20,18,,4,8
2013-1063,Shenzhen,Hard,32,I,,20121231,8,201294,2,,Marion Bartoli,R,170,FRA,28.247,11,3740,202507,,WC,Wing Yau Venise Chan,R,,HKG,23.590,357,116,6-1 6-0,3,R32,,1,7,51,31,21,10,,8,9,0,9,49,26,12,5,,5,11
2013-1063,Shenzhen,Hard,32,I,,20121231,9,202461,,,Julia Cohen,R,170,USA,23.776,129,543,201690,,,Nina Bratchikova,R,178,RUS,27.510,80,804,0-6 7-6(7) 7-5,3,R32,,0,1,94,67,41,12,,8,14,2,6,94,61,41,19,,4,8
2013-1063,Shenzhen,Hard,32,I,,20121231,10,202504,,WC,Ying Ying Duan,R,186,CHN,23.497,132,526,200617,,Q,Kimiko Date Krumm,R,163,JPN,42.260,99,685,7-6(5) 7-5,3,R32,,2,2,60,38,24,11,,2,5,1,3,57,42,20,4,,4,10
2013-1063,Shenzhen,Hard,32,I,,20121231,11,201587,8,,Bojana Jovanovski,R,175,SRB,21.002,56,1075,202456,,,Alexandra Cadantu Ignatik,R,170,ROU,22.664,90,718,6-3 6-1,3,R32,,0,4,43,29,22,8,,3,5,1,4,50,40,17,3,,2,8
2013-1063,Shenzhen,Hard,32,I,,20121231,12,201444,4,,Su Wei Hsieh,R,169,TPE,26.990,25,1636,201349,,,Melinda Czink,L,178,HUN,30.194,94,699,6-3 6-2,3,R32,,4,7,87,57,34,13,,9,12,1,3,51,37,18,2,,5,11
2013-1063,Shenzhen,Hard,32,I,,20121231,13,202470,,,Annika Beck,R,170,GER,18.872,78,810,202469,,,Garbine Muguruza,R,182,ESP,19.231,109,618,6-2 6-7(7) 6-4,3,R32,,1,4,98,68,45,15,,1,5,2,9,126,59,36,28,,19,26
2013-1063,Shenzhen,Hard,32,I,,20121231,14,201503,,,Ayumi Morita,R,163,JPN,22.810,85,745,201442,,,Yung Jan Chan,R,170,TPE,23.374,117,581,6-4 6-4,3,R32,,0,1,71,51,31,10,,5,8,1,2,59,42,24,7,,3,8
2013-1063,Shenzhen,Hard,32,I,,20121231,15,201397,6,,Shuai Peng,R,173,CHN,26.979,40,1380,201303,,Q,Anne Keothavong,R,175,GBR,29.293,143,481,6-4 6-0,3,R32,,0,3,51,35,22,8,,4,6,2,6,45,26,13,6,,4,10
2013-1063,Shenzhen,Hard,32,I,,20121231,16,201573,7,,Laura Robson,L,180,GBR,18.944,53,1131,201365,,,Edina Gallovits Hall,R,165,ROU,28.058,107,623,6-2 6-1,3,R32,,2,4,49,21,17,15,,2,3,0,8,39,17,9,6,,4,9
2013-1063,Shenzhen,Hard,32,I,,20121231,17,201419,1,,Na Li,R,172,CHN,30.845,7,5095,202461,,,Julia Cohen,R,170,USA,23.776,129,543,6-3 6-4,3,R16,,0,5,59,42,25,9,,7,10,0,2,59,38,16,12,,9,14
2013-1063,Shenzhen,Hard,32,I,,20121231,18,201587,8,,Bojana Jovanovski,R,175,SRB,21.002,56,1075,202504,,WC,Ying Ying Duan,R,186,CHN,23.497,132,526,6-3 6-1,3,R16,,1,3,50,28,18,11,,2,4,0,0,44,34,13,3,,0,6
2013-1063,Shenzhen,Hard,32,I,,20121231,19,202470,,,Annika Beck,R,170,GER,18.872,78,810,201444,4,,Su Wei Hsieh,R,169,TPE,26.990,25,1636,6-3 6-0,3,R16,,0,2,107,72,37,14,,3,12,2,2,117,84,49,15,,3,9
2013-1063,Shenzhen,Hard,32,I,,20121231,20,201397,6,,Shuai Peng,R,173,CHN,26.979,40,1380,201503,,,Ayumi Morita,R,163,JPN,22.810,85,745,6-1 6-1,3,R16,,4,2,33,15,14,10,,0,1,0,2,49,32,13,5,,4,10
2013-1063,Shenzhen,Hard,32,I,,20121231,21,201512,,,Monica Niculescu,R,168,ROU,25.268,58,1035,201573,7,,Laura Robson,L,180,GBR,18.944,53,1131,6-2 6-3,3,R16,,3,2,52,38,27,9,,2,2,0,4,52,31,21,8,,3,7
2013-1063,Shenzhen,Hard,32,I,,20121231,22,201609,,LL,Yi Miao Zhou,R,,CHN,21.898,177,364,201578,,,Kai Chen Chang,R,167,TPE,21.966,86,737,4-6 6-2 7-6(3),3,R16,,1,3,95,64,36,20,,4,9,0,12,118,71,44,16,,11,17
2013-1063,Shenzhen,Hard,32,I,,20121231,23,201344,5,,Klara Koukalova,R,166,CZE,30.851,28,1535,202494,,,Elina Svitolina,R,174,UKR,18.303,131,529,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,
2013-1063,Shenzhen,Hard,32,I,,20121231,24,201294,2,,Marion Bartoli,R,170,FRA,28.247,11,3740,201527,,Q,Stefanie Voegele,R,170,SUI,22.812,92,712,7-5 6-4,3,R16,,3,9,78,46,30,14,,9,13,6,2,78,52,30,9,,7,13
2013-1063,Shenzhen,Hard,32,I,,20121231,25,201419,1,,Na Li,R,172,CHN,30.845,7,5095,201587,8,,Bojana Jovanovski,R,175,SRB,21.002,56,1075,6-3 6-3,3,QF,,5,10,69,40,30,10,,5,7,0,3,58,47,24,4,,2,7
2013-1063,Shenzhen,Hard,32,I,,20121231,26,201397,6,,Shuai Peng,R,173,CHN,26.979,40,1380,202470,,,Annika Beck,R,170,GER,18.872,78,810,2-6 7-5 6-2,3,QF,,0,4,98,71,40,13,,7,13,0,3,107,73,42,11,,7,14
2013-1063,Shenzhen,Hard,32,I,,20121231,27,201512,,,Monica Niculescu,R,168,ROU,25.268,58,1035,201609,,LL,Yi Miao Zhou,R,,CHN,21.898,177,364,6-4 6-2,3,QF,,0,2,48,29,18,11,,0,3,0,1,65,47,17,11,,7,13
2013-1063,Shenzhen,Hard,32,I,,20121231,28,201344,5,,Klara Koukalova,R,166,CZE,30.851,28,1535,201294,2,,Marion Bartoli,R,170,FRA,28.247,11,3740,6-3 6-2,3,QF,,,,,,,,,,,,,,,,,,,
2013-1063,Shenzhen,Hard,32,I,,20121231,29,201419,1,,Na Li,R,172,CHN,30.845,7,5095,201397,6,,Shuai Peng,R,173,CHN,26.979,40,1380,6-4 6-0,3,SF,,3,3,49,27,19,12,,1,3,1,3,57,42,17,5,,6,12
2013-1063,Shenzhen,Hard,32,I,,20121231,30,201344,5,,Klara Koukalova,R,166,CZE,30.851,28,1535,201512,,,Monica Niculescu,R,168,ROU,25.268,58,1035,6-1 6-3,3,SF,,,,,,,,,,,,,,,,,,,
2013-1063,Shenzhen,Hard,32,I,,20121231,31,201419,1,,Na Li,R,172,CHN,30.845,7,5095,201344,5,,Klara Koukalova,R,166,CZE,30.851,28,1535,6-3 1-6 7-5,3,F,,,,,,,,,,,,,,,,,,,
2013-1049,Auckland,Hard,32,I,,20121231,1,201474,1,,Agnieszka Radwanska,R,170,POL,23.823,4,7425,201086,,LL,Greta Arn,R,180,HUN,33.720,114,589,6-2 6-2,3,R32,,3,2,43,26,21,9,,0,1,1,8,64,30,17,13,,8,13
2013-1049,Auckland,Hard,32,I,,20121231,2,201465,,,Kirsten Flipkens,R,165,BEL,26.974,54,1096,201448,,,Galina Voskoboeva,R,183,KAZ,28.036,82,776,6-1 6-7(2) 7-5,3,R32,,2,4,102,53,41,27,,9,11,3,5,112,64,45,18,,10,15
2013-1049,Auckland,Hard,32,I,,20121231,3,201472,,,Romina Oprandi,R,172,SUI,26.760,61,1012,201682,,Q,Nudnida Luangnam,R,167,THA,25.843,211,273,6-0 6-2,3,R32,,3,1,77,53,33,13,,9,9,0,4,38,17,7,9,,3,8
2013-1049,Auckland,Hard,32,I,,20121231,4,201518,3,,Yanina Wickmayer,R,182,BEL,23.198,23,1680,201517,,,Magdalena Rybarikova,R,180,SVK,24.241,62,1002,7-6(3) 6-2,3,R32,,0,0,62,48,36,7,,2,4,4,8,71,28,20,18,,4,8
2013-1049,Auckland,Hard,32,I,,20121231,5,201621,8,,Mona Barthel,R,185,GER,22.475,39,1416,202479,,Q,Grace Min,R,163,USA,18.656,182,342,6-1 6-3,3,R32,,5,2,47,25,18,12,,3,4,0,4,54,31,14,11,,8,13
2013-1049,Auckland,Hard,32,I,,20121231,6,201305,,WC,Eleni Daniilidou,R,182,GRE,30.284,100,683,201535,,WC,Coco Vandeweghe,R,185,USA,21.071,97,688,1-6 7-6(5) 6-4,3,R32,,3,10,95,61,43,11,,9,14,11,2,96,64,43,18,,5,9
2013-1049,Auckland,Hard,32,I,,20121231,7,201596,,,Johanna Larsson,R,174,SWE,24.373,73,860,201595,,,Misaki Doi,L,159,JPN,21.676,93,711,4-6 6-3 6-2,3,R32,,6,6,115,80,55,18,,11,12,0,6,93,59,42,15,,8,11
2013-1049,Auckland,Hard,32,I,,20121231,8,201504,2,,Julia Goerges,R,180,GER,24.162,18,1965,201545,,Q,Anastasija Sevastova,R,169,LAT,22.719,184,339,6-3 6-4,3,R32,,3,2,74,37,26,22,,7,8,3,4,55,31,18,15,,1,4
