tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-2075,Guadalajara,Hard,32,500,O,20260913,1,220548,,,Peyton Stearns,R,173,USA,24.931,60,1001,215306,,,Emiliana Arango,R,,COL,25.791,139,541,6-3 6-2,3,R32,74,1,2,58,34,26,10,9,1,3,3,6,48,28,15,5,8,3,8
2026-2075,Guadalajara,Hard,32,500,O,20260913,2,219917,,,Alycia Parks,R,185,USA,25.701,72,927,201478,,,Varvara Lepchenko,L,180,USA,40.316,179,420,6-3 1-6 7-5,3,R32,109,10,16,86,38,28,22,14,2,6,1,7,72,44,31,14,14,1,5
2026-2075,Guadalajara,Hard,32,500,O,20260913,3,215910,,,Panna Udvardy,R,170,HUN,27.960,83,889,222391,,WC,Lois Boisson,R,,FRA,23.330,227,323,6-4 6-7(6) 6-2,3,R32,151,4,8,103,58,43,25,15,6,7,6,7,103,61,42,17,15,5,9
2026-2075,Guadalajara,Hard,32,500,O,20260913,4,222145,5,,Janice Tjen,R,,INA,24.356,51,1090,221307,,,Darja Vidmanova,R,,CZE,23.677,86,877,7-6(6) 6-2,3,R32,94,10,2,66,35,30,19,10,0,0,4,3,59,29,23,19,10,1,3
2026-2075,Guadalajara,Hard,32,500,O,20260913,5,213710,6,,Cristina Bucsa,R,,ESP,28.699,44,1164,215370,,WC,Bianca Andreescu,R,170,CAN,26.243,164,451,6-4 6-3,3,R32,97,1,2,53,30,19,13,9,0,2,1,4,74,39,25,14,10,9,14
2026-2075,Guadalajara,Hard,32,500,O,20260913,6,215037,,,Kayla Day,L,173,USA,26.963,123,591,220722,,,Elvina Kalieva,R,178,USA,23.135,113,661,7-6(9) 6-4,3,R32,160,8,7,106,68,50,16,11,12,14,6,5,89,47,35,20,11,5,8
2026-2075,Guadalajara,Hard,32,500,O,20260913,7,201585,,WC,Sloane Stephens,R,170,USA,33.487,169,444,220733,,Q,Carole Monnet,L,,FRA,24.786,215,350,6-4 7-6(5),3,R32,108,1,5,83,59,35,12,11,5,8,1,5,78,51,31,13,11,8,12
2026-2075,Guadalajara,Hard,32,500,O,20260913,8,203501,,WC,Taylor Townsend,L,170,USA,30.413,98,783,213583,,,Tatjana Maria,R,172,GER,39.103,80,894,6-7(0) 6-3 6-2,3,R32,135,4,3,92,54,37,21,14,6,8,5,1,104,58,39,23,15,8,14
2026-2075,Guadalajara,Hard,32,500,O,20260913,9,214452,,Q,Caroline Dolehide,R,178,USA,28.025,246,294,213887,,,Renata Zarazua,R,,MEX,28.956,91,819,6-1 3-6 6-3,3,R32,106,1,3,73,56,41,8,13,1,3,1,2,67,47,30,9,12,1,5
2026-2075,Guadalajara,Hard,32,500,O,20260913,10,220309,,,Zeynep Sonmez,R,,TUR,24.376,58,1027,213576,,Q,Iryna Shymanovich,R,,BLR,29.208,197,393,6-1 6-1,3,R32,59,1,0,50,35,25,10,7,5,5,0,5,37,19,9,4,7,0,5
2026-2075,Guadalajara,Hard,32,500,O,20260913,11,211684,7,,Magdalena Frech,R,171,POL,28.748,57,1032,211702,,Q,Nao Hibino,R,163,JPN,31.795,199,385,6-1 6-4,3,R32,81,4,0,48,32,22,13,9,1,2,1,2,67,48,24,11,8,8,12
